,X,GID,Date,Year,Month,Day,Source,SrcActor,SrcAgent,SOthAgent,Target,TgtActor,TgtAgent,TOthAgent,CAMEO,RootCode,QuadClass,Goldstein,None,Lat,Lon,Geoname,AdminInfo,CountryCode,ID,URL,sourcetxt
443476,443476,748196,20150206,2015,2,6,IMGMUSISI,IMG,,MUS;ISI,JPN,JPN,,,190,19,4,-10,,NA,NA,,,,54d52080ee64790757c7c5f7_0,http://www.japanherald.com/index.php/sid/230003331/scat/c4f2dd8ca8c78044,bnn_japan
1239913,1239913,1602969_v0.2.0,20151029,2015,10,29,SAU,SAU,,,AUT,AUT,,,10,1,0,0,,48.20849,16.37208,Vienna,Wien,AUT,56324589421aa96cb01ba811_0,http://www.bbc.co.uk/news/world-middle-east-34670558,
15320,15320,328448,20140625,2014,6,25,PSECOP,PSE,COP,,ISRGOV,ISR,GOV,,57,5,1,8,,NA,NA,,,,53abefcabfd109739eb8a93e_0,http://www.middleeaststar.com/index.php/sid/223255551/scat/940f2bfd509e743b,bnn_me
622755,622755,939139_v0.2.0,20150411,2015,4,11,DEUGOV,DEU,GOV,,IND,IND,,,36,3,1,4,,28.63576,77.22445,New Delhi,National Capital Territory of Delhi,IND,552907d8421aa9069a2131a6_1,http://article.wn.com/view/2015/04/11/BACKGROUND_Indias_trade_relations_with_the_European_Union_Fr/,wn_europe
26225,26225,339357,20140630,2014,6,30,KORBUS,KOR,BUS,,TWN,TWN,,,61,6,2,6.4,,NA,NA,,,,53b0d2ecbfd1092cded98aea_0,http://yonhapnews.feedsportal.com/c/35025/f/647118/s/3c01012f/sc/24/l/0Lenglish0Byonhapnews0Bco0Bkr0Cnews0C20A140C0A60C30A0C0A20A0A0A0A0A0A0A0AAEN20A140A630A0A0A340A0A320A0Bhtml/story01.htm,skorea_yonhap_sk
1168758,1168758,1482589_v0.2.0,20151006,2015,10,6,IGOEUREECGOVLEG,IGO,,EUR;EEC;GOV;LEG,DEUMED,DEU,MED,,10,1,0,0,"EUROPEAN_UNION,1",52.52437,13.41053,Berlin,Land Berlin,DEU,56135d41421aa97b0ab30889_6,http://article.wn.com/view/2015/10/06/Costs_from_scandal_piling_up_for_Volkswagen_with_spot_as_No_/,wn_world
1526064,1526064,1931099_v1.2.0,20160203,2016,2,3,FRAGOV,FRA,GOV,,FRA,FRA,,,80,8,2,5,"SLUMS,2",48.85341,2.3488,Paris,Île-de-France,FRA,56b1e760421aa97c8d7cbd6f_1;56b1e007421aa97c8f538f48_2,http://article.wn.com/view/2016/02/03/Paris_police_clear_sprawling_Roma_camp_at_citys_edge_j/;http://article.wn.com/view/2016/02/03/Paris_police_clear_sprawling_Roma_camp_at_citys_edge_l/,wn_world;wn_world
998571,998571,1312349_v0.2.0,20150815,2015,8,15,NGAGOV,NGA,GOV,,NGAMEDMIL,NGA,MED,MIL,10,1,0,0,"SUICIDE_ATTACK,1",45.94748,10.20243,Borno,,ITA,55cf639a421aa95c5649ae70_0,http://www.premiumtimesng.com/news/more-news/188434-plot-to-bomb-borno-market-thwarted.html,nigeria_premiumtimes
64942,64942,379994,20140716,2014,7,16,DEUGOV,DEU,GOV,,RUS,RUS,,,111,11,3,-2,,NA,NA,,,,53c694d5bfd1091590f49a55_2;53c69376bfd109159bf49a43_2;53c66ab5bfd1090cdbf1eda5_2;53c6945dbfd109159ef49a4e_2,http://www.russiaherald.com/index.php/sid/223850843/scat/723971d98160d438;http://www.theuknews.com/index.php/sid/223850843/scat/15665b944045da4a;http://www.voanews.com/content/eu-considers-blocking-new-loans-to-russia/1958504.html;http://www.europesun.com/index.php/sid/223850843/scat/88176adfdf246af5,bnn_russia;bnn_uk;voa_all;bnn_europe
1033133,1033133,1346923_v0.2.0,20150827,2015,8,27,INDGOVAGR,IND,GOV,AGR,INDGOV,IND,GOV,,11,1,0,-0.1,,19.03681,73.01582,Navi Mumbai,State of Mahārāshtra,IND,55decf51421aa9613a54b839_4,http://www.thehindu.com/news/national/telangana/irrigation-projects-td-leader-blames-kcr/article7585485.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,hindu_nat
