"","code","src_actor","month","tgt_actor","country_code","year","date8_val","id","source","date8","src_agent","latitude","src_other_agent","geoname","quad_class","source_text","root_code","tgt_other_agent","day","target","goldstein","tgt_agent","longitude","url"
"579","010","","03","","USA","2017",2017-03-26 20:00:00,"5a834060ff261b48ad0745ba_3","---COP","20170327","COP","34.00043",""," South Carolina",0,"minnstartrib_national","01","","27","---COP",0,"COP","-81.00009","http://www.startribune.com/nation/417238953.html"
"580","074","","03","","","2017",2017-03-26 20:00:00,"5a83406dff261b48ad074634_1","---COP","20170327","COP","",""," ",2,"wn_world","07","PPL","27","---PPL",8.5,"","","https://article.wn.com/view/2017/03/27/Police_search_Potomac_River_near_Key_Bridge_for_person_in_th/"
"581","010","NGA","03","","NGA","2017",2017-03-26 20:00:00,"5a83406eff261b48ad07463d_1","NGA","20170327","","7.37756","","Ibadan Oyo State",0,"nigeria_thepunch","01","","27","---EDU",0,"EDU","3.90591","http://punchng.com/ui-non-academic-staff-unions-suspend-strike/"
"582","010","LBN","03","","USA","2017",2017-03-26 20:00:00,"5a834068ff261b48ad074607_2","LBNJUD","20170327","JUD","40.27245",""," Pennsylvania",0,"wn_world","01","","27","---CVL",0,"CVL","-76.90567","https://article.wn.com/view/2017/03/28/American_woman_wounded_in_Mexico_resort_of_San_Jose_del_Cabo/"
"583","010","USA","03","USA","USA","2017",2017-03-26 20:00:00,"5a834077ff261b48ad074692_4","USAGOV","20170327","GOV","47.50012",""," Washington",0,"sfgate_national","01","MED","27","USAGOVMED",0,"GOV","-120.50147","http://www.sfgate.com/news/article/The-Latest-Dem-calls-on-House-intel-chair-to-11031691.php"
"584","060","","03","","","2017",2017-03-26 20:00:00,"5a834079ff261b48ad0746ab_3","---BUS","20170327","BUS","",""," ",2,"wn_europe","06","HLH","27","---HLH",6,"","","https://article.wn.com/view/2017/03/28/New_PeerReviewed_Publication_Reports_Further_External_Valida/"
"585","010","","03","","","2017",2017-03-26 20:00:00,"5a834077ff261b48ad074699_6","---LEG","20170327","","","LEG"," ",0,"sfgate_national","01","REL","27","---REL",0,"","","http://www.sfgate.com/news/education/article/Nebraska-ends-ban-on-religious-garb-in-public-11031681.php"
"586","042","USA","03","IRQ","IRQ","2017",2017-03-26 20:00:00,"5a834078ff261b48ad0746a0_3","USAMIL","20170327","MIL","33","","Republic of Iraq ",1,"google","04","","27","IRQ",1.9,"","44","http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNGYsTmCnuhCjZtGgyROZJ4ZQdAiQg&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779434571252&ei=wZ3ZWPPTE5bJqgLXsJ3IBw&url=https://www.nytimes.com/2017/03/27/world/middleeast/mosul-iraq-isis-civilian-deaths-us-airstrikes.html"
"587","173","USA","03","","USA","2017",2017-03-26 20:00:00,"5a834079ff261b48ad0746a5_3","USA","20170327","","37.13054","","Washington Utah",4,"google","17","","27","---GOV",-5,"GOV","-113.50829","http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNGr70MkkIA2E54ZgxJzKDNcUwKF5A&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779440207954&ei=wZ3ZWPPTE5bJqgLXsJ3IBw&url=https://www.washingtonpost.com/world/national-security/lawsuit-seeks-data-over-searches-of-electronics-at-us-border/2017/03/27/20477e3a-131b-11e7-bb16-269934184168_story.html"
"588","112","","03","","RUS","2017",2017-03-26 20:00:00,"5a834076ff261b48ad074690_1","---GOV","20170327","GOV","60","","Russian Federation ",3,"google","11","","27","---GOV",-2,"GOV","100","http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNEqGrqHtujRfiUHMHD85VEDWzzBzw&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779440155779&ei=wZ3ZWPPTE5bJqgLXsJ3IBw&url=https://www.washingtonpost.com/news/post-nation/wp/2017/03/27/23-people-ask-the-justice-department-to-launch-a-criminal-inquiry-into-its-chief-jeff-sessions/"
"589","010","USA","03","","USA","2017",2017-03-26 20:00:00,"5a834076ff261b48ad074690_4","USAJUD","20170327","JUD","42.36565",""," Massachusetts",0,"google","01","","27","MED",0,"","-71.10832","http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNEqGrqHtujRfiUHMHD85VEDWzzBzw&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779440155779&ei=wZ3ZWPPTE5bJqgLXsJ3IBw&url=https://www.washingtonpost.com/news/post-nation/wp/2017/03/27/23-people-ask-the-justice-department-to-launch-a-criminal-inquiry-into-its-chief-jeff-sessions/"
"590","190","PAK","03","AFG","PAK","2017",2017-03-26 20:00:00,"5a83407bff261b48ad0746bb_1","PAK","20170327","","30","","Islamic Republic of Pakistan ",4,"wn_asia","19","UAF","27","AFGREBUAF",-10,"REB","70","https://article.wn.com/view/2017/03/27/Will_Trump_Administration_Increase_Drone_Strikes_in_Pakistan/"
"591","112","","03","","RUS","2017",2017-03-26 20:00:00,"5a834061ff261b48ad0745bd_1","---GOV","20170327","GOV","60","","Russian Federation ",3,"google","11","","27","---GOV",-2,"GOV","100","http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNEqGrqHtujRfiUHMHD85VEDWzzBzw&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779440155779&ei=DpnZWNiyK5TgqAL4zoD4DA&url=https://www.washingtonpost.com/news/post-nation/wp/2017/03/27/23-people-ask-the-justice-department-to-launch-a-criminal-inquiry-into-its-chief-jeff-sessions/"
"592","010","USA","03","","USA","2017",2017-03-26 20:00:00,"5a834061ff261b48ad0745bd_4","USAJUD","20170327","JUD","42.36565",""," Massachusetts",0,"google","01","","27","MED",0,"","-71.10832","http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNEqGrqHtujRfiUHMHD85VEDWzzBzw&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779440155779&ei=DpnZWNiyK5TgqAL4zoD4DA&url=https://www.washingtonpost.com/news/post-nation/wp/2017/03/27/23-people-ask-the-justice-department-to-launch-a-criminal-inquiry-into-its-chief-jeff-sessions/"
